Title,Current Price (INR),Original Price (INR),Discount (%),Rating,Reviews,Monthly Sales,Flags
"Philips OneBlade Gen Z Beard Trimmer & Styler|Ideal for 1st Trim or Thin Beard | Designed for Skin Comfort, No Nicks & Cuts | Dual Protect Tech | Acne Prone, Sensitive Skin or Patchy Beard | 2 Year Warranty | QP1424/10",1147,1549,26,3.8,5206,2K+ bought in past month,Prime
"Trimmer for Men Beard, Mustache, Head, Body Grooming Professional Hair Clipper Rechargeable Hair Trimmer, Close Cut Precise Hair Machine, Body Trimmer, Gold",499,1499,67,4.4,41,400+ bought in past month,Prime
"BEARDO 1100 Watts Styling Gun Ultra Compact Hair Dryer & Don Trimmer for Men, Black",1848,3598,49,0,0,,Prime
"Bombay Shaving Company 11 in1 Multi Grooming Kit | All in One Full Body Trimmer for Men | 120 Min Charge time, 90 Min Runtime, Charging Indicator | IPX6 Water Proof | Nose, Ear, Beard, Body, Hair Trimmer Men",2859,4449,36,4,756,1K+ bought in past month,Prime
"Beardo I Blade Trimmer for men | No Nicks and Cuts | Electric Shaver with powerful motor | Perfect,Beardo I Blade Replaceable Blade (Pack of 2) | Dual sided edges | Perfect Multipurpose Trimmer for",1498,2298,35,0,0,,Prime
Philips Body Trimmer for Men-Clinically Tested for Sensitive Skin I Patented Pearl Tip & Hypo allergenic foilI Skin Safe Grooming I Trim or Shave Basis Your StyleI Showerproof I 2+1 Year Warranty - BG3007/01,1889,2699,30,3.8,391,1K+ bought in past month,Prime
"Vega Trimmer for Men with 90 Mins Runtime, Stainless Steel Blades & 40 Length Settings, 2 Comb Attachment, Cord and Cordless Use, Black, (Power Lite, VHTH-38)",749,1149,35,3.9,3255,1K+ bought in past month,Prime
Philips Skin Friendly Beard Trimmer for Men| 10 Length Settings| 15mins Quick Charge| Self Sharpening Blades | Cordless & Rechargeable| New Model - BT3303/30,1228,1599,23,4.2,68937,3K+ bought in past month,Prime
"Beardo Multipurpose I Blade Trimmer & Shaver for Beard, For Men, Black & Beardo Ape-X 3-in-1 Multipurpose Trimmer for Men",1698,2998,43,0,0,,Prime
BEARDO Ape-X 3-in-1 Multipurpose Trimmer Shaver for Men & Styling Gun Ultra Compact Hair Dryer Hair Dryer For Men | Travel Friendly | Stylish Matte Black Finish,1698,2898,41,0,0,,Prime
"Pigeon 3 In 1 Multi-purpose Grooming Kit for Men | Trimmer, Shaver, Nose & Ear Trimmer | Stainless Steel Blade | USB Type C Charging | 120 Min Runtime | 2 HR Charge Time | 2 Years Warranty",999,1995,50,4.5,37,200+ bought in past month,Prime
VGR V-937 Professional Corded & Cordless Hair Trimmer Runtime:500 minutes (Black),1179,1510,22,4,1725,700+ bought in past month,Prime
"Braun All-in-One Trimmer for Men, From Gillette,10-in-1, For Face, Hair, Body, Ear, Nose, Private parts, German Engineering,100-Min Runtime, Waterproof, precision trimming comb, professional finish, 5-quick charge, Body Trimmer, MGK5445",4129,4999,17,4.2,26669,200+ bought in past month,Prime
"Philips OneBlade Turbo2X | Hybrid Trim Edge Shave | Patented Dual Protect Tech | Perfected for Skin Comfort | 3 Comb Attachments | Beard Trimmer and Styler for Men, Waterproof, 45Min Runtime | QP2724/10",1799,2199,18,0,2000,2K+ bought in past month,Prime
"Beardo Ape-X 3-in-1 Multipurpose Trimmer for Men & Beardo Style Cannon Hair Dryer, Powerful 1000W airflow",1598,2698,41,0,0,,Prime
Beardo Ape-X Prime 3-in-1 Multipurpose Trimmer for Men & Beardo Style Cannon Hair Dryer,1743,2698,35,0,0,,Prime
Beardo Ape-X Prime 3-in-1 Multipurpose Trimmer for Men & BEARDO Styling Gun Ultra Compact Hair Dryer,1843,2898,36,0,0,,Prime
Gold Metal Beardo Mens Trimmer | with 1-3mm adjustable Lever | 2000m Battery with C - type charging with adaptor | Cordless with 4 Guide Combs | with 120 min run time,849,2000,58,0,0,,
Beardo Ape-X Prime 3-in-1 Multipurpose Trimmer for Men & BEARDO Styling Gun Ultra Compact Hair Dryer & Beardo Style Cannon Hair Dryer,2642,4097,36,0,0,,Prime
"Beardo Ape-X Prime 3-in-1 Multipurpose Trimmer for Men & Beardo Multipurpose I Blade Trimmer & Shaver for Beard, Body, Hair & Groin & BEARDO Styling Gun Ultra Compact Hair Dryer",2742,4397,38,0,0,,Prime
Philips Pro Beard Trimmer and Styler for Men| Titanium Blades| 2.5x Higher Precision| Beard Sense Tech|5 Mins Quick Charge| 20 Length Settings| 6X Longer Battery Life| New Model - BT3441/30,1692,2599,35,4.3,9077,1K+ bought in past month,Prime
Morphy Richards Astonx Bt1110 Beard Trimmer Men|9 Settings Single Comb| Reachargable Men Trimmer|Removable & Washable Blades| 2-Yr Warranty |Travel Friendly Beard Trimmer|Metallic Blue & Black,599,1195,50,3.7,620,300+ bought in past month,Prime
"Beardo Ape-X Prime 3-in-1 Multipurpose Trimmer for Men & Beardo Multipurpose I Blade Trimmer & Shaver for Beard, Body, Hair & Groin",1843,2998,39,0,0,,Prime
"Lifelong Battery Powered Trimmer For Men |1 Year Warranty |Trimmer Men, 60 Minutes Runtime, 20 Length Settings, Hair Trimmer for Men, Beard Trimmer for Men, Stainless Steel Blades (LLPCM107, Blue)",599,2000,70,4,15484,1K+ bought in past month,Prime
"AGARO Royal Multi Grooming Kit For Men, 9in1, Shave| Trim | Style, Face Head Body Trimmer, Self Sharpening Stainless Steel Blade, 5 Combs, Metal Body, Type C Fast Charging, 120 Min Usage, IPX7, Silver",2855,3399,16,4.2,534,200+ bought in past month,Prime
